Sample Name,Sample SubType,Class,SiO2 (wt%),TiO2 (vol%),Al2O3 (wt%),FeO (vol%),MgO (wt%),MnO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),Cr2O3 (vol%),Fe (wt%),Cr (wt%),Mn (wt%),Mg (wt%),Ca (wt%),Al (wt%),Na (wt%),Ti (wt%),La (ppm),Sm (ppm),Eu (ppm),Yb (ppm),Lu (ppm),Ba (ppm),He3 (ccstp/g),He4 (ccstp/g),Ne20 (ccstp/g),Ne21 (ccstp/g),Ne22 (ccstp/g),Ar36 (ccstp/g),Ar38 (ccstp/g),Ar40 (ccstp/g),FeTOT (wt%),FeS (wt%),Fe/Mg,MnO/MgO,FeO/MgO,Al2O3/CaO,La/Lu,Eu/Sm,He3/He4,Ne21/Ne22,Ar40/Ar36,Total REE,major_oxides_mean,iron_related_mean,ree_mean,he_group_mean,ne_group_mean,ar_group_mean,lithophile_mean,siderophile_mean,all_noble_gases_mean,elemental_weight_mean,Fe_Oxidation_Index,Mg_Si_Ratio,Mafic_Index,Eu_Anomaly,Silica_Saturation_Index,Mg_Number,Volatile_Depletion_Index,Refractory_Volatile_Ratio,Metal_Silicate_Proxy
ALLEGAN,H5,H,37.37875,0.091666667,2.178333333,13.128,25.62,0.285,1.71,0.862,0.12,0.25,0.378,28.19727273,0.317222222,0.222881818,14.31166667,1.234428571,1.072888889,0.581444444,0.0555,35.494625,23.154125,9.0593375,25.412,3.81225,3.4352,9.45E-08,1.77E-05,3.87E-08,1.95E-08,2.31E-08,8.95E-09,3.68E-09,5.86E-05,26.544,5.176666667,1.97022984,0.011124122,0.512412178,1.273879142,9.31067611,0.391262356,0.005325444,0.843817787,6548.230912,96.9323375,8.550510417,19.97264646,19.3864675,8.92E-06,2.71E-08,1.95E-05,4.300107143,9.579125589,9.57E-06,5.749163167,0.465576942,0.685416179,0.979546436,0.373476112,0.964662692,0.661195417,0.026271612,3.959606242,0.754366391
FOREST CITY,H5,H,35.61,0.1,2.045,8.11,23.33,0.3,1.53,0.81,0.08,0.25,0.1,27.40833333,0.301833333,0.234857143,14.07,1.12225,1.0825,0.6128,0.0588,0.325333333,0.215333333,0.074933333,0.226666667,0.037666667,3.256666667,9.10E-08,1.47E-05,2.60E-08,2.25E-08,2.45E-08,1.40E-08,5.50E-09,5.56E-05,28.52,6.19,1.947998105,0.01285898,0.347621089,1.336601307,8.637168142,0.347987616,0.006190476,0.918367347,3971.428571,0.879933333,7.994375,20.70611111,0.175986667,7.40E-06,2.43E-08,1.85E-05,4.2218875,9.315007937,8.81E-06,5.611421726,0.295895409,0.655153047,0.834948878,0.339176371,1.132633588,0.742048346,0.024992979,4.016853928,0.769680801
FOREST VALE,H4,H,37.02,0.12,2.215,6.305,23.345,0.295,1.795,1.085,0.155,0.295,0.37,27.75,0.34074,0.2381,14.18666667,1.2625,1.168333333,0.751333333,0.072,0.293833333,0.189166667,0.071583333,0.208333333,0.035,1.91,1.10E-06,2.37E-05,2.38E-07,2.68E-07,2.90E-07,7.83E-08,4.67E-08,6.34E-05,27.33,5.49,1.95606203,0.012636539,0.270079246,1.233983287,8.395238095,0.378414097,0.046413502,0.924582614,810.0775194,0.797916667,8.275625,20.19,0.159583333,1.24E-05,2.65E-07,2.12E-05,4.342208333,9.442946667,1.11E-05,5.721209167,0.227207207,0.630605078,0.755702816,0.360587136,1.24856661,0.787352445,0.033495408,3.233870965,0.749594814
RICHARDTON,H5,H,34.672,0.0952,2.144,9.67,22.476,0.31,1.586,0.87,0.11,0.298,0.4975,33.319,0.333377778,0.21718,14.10666667,1.161333333,1.192166667,0.5819875,0.05746,27.90363636,17.70863636,6.971363636,19.543,3.029009091,2.063,2.89E-07,1.36E-05,9.16E-08,8.79E-08,9.95E-08,2.79E-08,2.63E-08,4.83E-05,27.475,4.435,2.361932892,0.01379249,0.430236697,1.351828499,9.212133581,0.393670269,0.02134848,0.88332054,1729.119754,75.15564545,7.80825,21.743,15.03112909,6.92E-06,9.30E-08,1.61E-05,4.260538542,11.28985259,7.81E-06,6.371146493,0.290224797,0.648246424,0.873152977,0.374739576,1.078578983,0.699184969,0.028264882,3.806122445,0.960977157
JILIN,H5,H,36.348,0.096,2.104,8.616,22.606,0.308,1.794,0.918,0.112,0.236,0.486,40.73,0.355333333,0.2672,13.835,1.205,1.148,0.554,0.048,32.94244444,18.26937,7.729877778,23.18825556,3.473077778,2.881666667,1.68E-08,3.32E-06,7.72E-09,7.55E-09,8.95E-09,9.55E-09,2.80E-09,2.58E-05,29.4,5.344,2.943982653,0.013624701,0.381137751,1.172798216,9.485086875,0.423105875,0.005066283,0.843851289,2706.511462,85.60302556,8.05325,25.158,17.12060511,1.67E-06,8.07E-09,8.62E-06,4.1855,13.78417778,3.65E-06,7.267816667,0.211539406,0.621932431,0.811973369,0.375557814,1.164179104,0.72404074,0.028337185,3.784466016,1.120556839
PULTUSK,H5,H,36.285,0.09,2.275,9.48,23.44,0.275,1.745,0.83,0.095,0.235,0.37,26.61,0.3272,0.223428571,13.86,1.47575,1.1134,0.6324,0.0534,0.300666667,0.19575,0.071666667,0.222,0.033333333,3.276666667,1.19E-07,3.28E-05,1.14E-07,2.56E-08,3.44E-08,1.64E-08,5.66E-09,4.78E-05,27.21,5.97,1.91991342,0.011732082,0.40443686,1.303724928,9.02,0.36611324,0.003623267,0.744046467,2922.779136,0.823416667,8.1475,19.93,0.164683333,1.65E-05,5.80E-08,1.59E-05,4.2703875,9.053542857,1.01E-05,5.536947321,0.356257046,0.645996968,0.85373444,0.343787301,1.102217497,0.712029162,0.025492628,4.345945941,0.733360893
KERNOUVE,H6,H,34.63,0.13,2.75,10.35,23.455,0.31,1.815,1.16,0.08,0.19,0.57,29.37333333,0.382,0.2315,14.145,1.295,1.4555,0.78,0.078,0.50055,0.2387,0.0845,0.2544,0.03825,3.05,9.00E-06,4.16E-05,1.17E-08,1.26E-08,1.32E-08,8.43E-09,1.64E-08,5.40E-05,30.06,4.82,2.076587722,0.013216798,0.441270518,1.515151515,13.08627451,0.354000838,0.092733711,0.954545455,6411.07814,1.1164,8.04875,21.41777778,0.22328,2.53E-05,1.25E-08,1.80E-05,4.418875,9.995611111,1.31E-05,5.967541667,0.352360418,0.677302917,0.904360621,0.342903521,1.024404674,0.693832273,0.035807104,3.68145161,0.848204832
ESTACADO,H6,H,35.815,0.11,3.08,12.345,22.575,0.29,2.245,1.38,0.22,0.5,0.72,27.315,0.493,0.224,13.61,1.605,1.63,1.025,0.066,0.671,0.934,0.098,0.381,0.056,33.82,7.93E-08,1.28E-05,4.99E-08,1.72E-08,2.20E-08,4.40E-09,2.00E-09,1.43E-05,27.315,4.72,2.006980162,0.012846069,0.546843854,1.371937639,11.98214286,0.104925054,0.006209867,0.785117692,3250,2.14,8.263125,19.78333333,0.428,6.42E-06,2.97E-08,4.77E-06,4.4675,9.344,3.41E-06,5.746,0.451949478,0.630322491,0.897801774,0.164282063,1.025630011,0.646477663,0.044674019,3.328124998,0.762669273
MILLER (ARKANSAS),H5,H,38.13,0.142,2.06,4.74,23.71,0.31,1.61,0.82,0.098,0.5,0.32,27.714,0.284,0.233857143,14.295,1.15,1.085,0.5784,0.074333333,0.284,0.183,0.0658,0.19,0.035,2.74,6.32E-08,1.96E-05,2.75E-08,1.11E-08,1.43E-08,3.23E-09,1.04E-09,1.38E-05,27.01,5.39,1.938719832,0.013074652,0.199915647,1.279503106,8.114285714,0.359562842,0.003231687,0.776285047,4265.370349,0.7578,8.40475,20.038,0.15156,9.81E-06,1.76E-08,4.59E-06,4.2771,9.410619048,4.18E-06,5.67682381,0.171032691,0.621820089,0.707887534,0.352877157,1.340246046,0.833391916,0.024075531,3.997821346,0.726829268
OCHANSK,H4,H,36.52333333,0.093333333,3.126666667,8.023333333,23.48333333,0.253333333,1.746666667,0.723333333,0.12,0.216666667,0.34,24.92,0.284333333,0.215114286,14.995,1.296,1.4878,0.551,0.057333333,0.29405,0.1936,0.081066667,0.2041,0.0306,4.2,1.16E-07,1.33E-05,2.45E-08,1.63E-08,2.09E-08,1.50E-08,8.94E-09,5.45E-05,27.27333333,5.046666667,1.661887296,0.010787793,0.341660752,1.790076336,9.609477124,0.418732782,0.008706897,0.782459746,3634.857143,0.803416667,8.274166667,19.08,0.160683333,6.73E-06,2.06E-08,1.82E-05,4.58245,8.473149206,8.51E-06,5.475822619,0.321963617,0.642967966,0.794619588,0.407819638,1.159225561,0.745344901,0.023090262,5.77865612,0.68230355
IJOPEGA,H6,H,36.91,0.07,2.76,6.97,22.26,0.3,1.7,0.93,0.09,0.25,0.21,27.56,0.14,0.23,13.42,1.2,1.46,0.69,0.042,0.27,0.19,0.061,0.18,0.028,3.3,1.32E-07,1.33E-05,2.09E-08,2.12E-08,2.46E-08,1.35E-08,6.50E-09,6.12E-05,27.56,11.42,2.053651267,0.013477089,0.3131177,1.623529412,9.642857143,0.321052632,0.009924812,0.861788618,4533.333333,0.729,8.15,22.18,0.1458,6.72E-06,2.22E-08,2.04E-05,4.1925,9.31,9.34E-06,5.59275,0.252902758,0.603088594,0.736828838,0.329850221,1.262743756,0.761546356,0.027634787,4.372549015,0.746681116
RUMANOVÁ,H5,H,38.85,0.23,1.95,23.23,21.94,0.28,1.19,0.59,0.07,0.32,0.2,21.19,0.14,0.22,13.23,0.85,1.03,0.44,0.14,1.651,0.15,0.066,0.185,0.021,5.154622222,1.10E-07,4.93E-05,1.70E-07,2.85E-08,4.27E-08,1.65E-08,5.40E-09,4.54E-05,21.19,4.94,1.601662887,0.012762078,1.058796718,1.638655462,78.61904762,0.44,0.002237625,0.668229777,2751.111111,2.073,8.14875,15.77333333,0.4146,2.47E-05,8.04E-08,1.51E-05,3.8875,7.183333333,1.19E-05,4.655,1.096271826,0.564736165,1.107107843,0.396198146,0.860084127,0.485720611,0.016988417,4.75757575,0.545431145
